Column1,A,B,C
to,,O,
unknown,,O,
dangerous,,O,
biases,,O,
,,O,
the,,O,
inability,,O,
of,,O,
the,,O,
models,,O,
to,,O,
understand,,O,
the,,O,
concepts,,O,
underlying,,O,
what,,O,
they,,O,
learn,,O,
,,O,
and,,O,
the,,O,
potential,,O,
for,,O,
using,,O,
them,,O,
to,,O,
deceive,,O,
people,,O,
.,,O,
2021, B,B,B
-, I,I,I
present, I,I,I
:, O,O,
Independent,,O,
research,,O,
.,,O,
In,,O,
June, B,B,B
2021, I,I,I
,,O,
Gebru,,O,
announced,,O,
that,,O,
she,,O,
was,,O,
raising,,O,
money,,O,
to,,O,
launch,,O,
an,,O,
independent,,O,
research,,O,
institute,,O,
modeled,,O,
on,,O,
her,,O,
work,,O,
on,,O,
Google,,O,
's,,O,
Ethical,,O,
AI,,O,
team,,O,
and,,O,
her,,O,
experience,,O,
in,,O,
Black,,O,
in,,O,
AI,,O,
.,,O,
On,,O,
2, B,B,B
December, I,I,I
2021, I,I,I
she, O,O,
launched,,O,
the,,O,
Distributed,,O,
Artificial,,O,
Intelligence,,O,
Research,,O,
Institute,,O,
(,,O,
DAIR,,O,
),,O,
,,O,
which,,O,
is,,O,
expected,,O,
to,,O,
document,,O,
the,,O,
effect,,O,
of,,O,
artificial,,O,
intelligence,,O,
on,,O,
marginalized,,O,
groups,,O,
,,O,
with,,O,
a,,O,
focus,,O,
on,,O,
Africa,,O,
and,,O,
African,,O,
immigrants,,O,
in,,O,
the,,O,
United,,O,
States,,O,
.,,O,
Text,,O,
from,,O,
https,,O,
:,,O,
//en.wikipedia.org/wiki/Timnit_Gebru,,O,
,,O,
adapted,,O,
by,,O,
the,,O,
teaching,,O,
team,,O,
.,,O,
